,Symbol,Name
471,UTIAMC.NS,United Brewerie
472,ULTRACEMCO.NS,United Spirits
473,UNIONBANK.NS,UNO Minda
474,UBL.NS,UPL
475,MCDOWELL-N.NS,UTI AMC
476,VGUARD.NS,V-Guard Ind
477,VMART.NS,V-Mart Retail
478,VIPIND.NS,Vaibhav Global
479,VAIBHAVGBL.NS,Vardhman Text
480,VTL.NS,Varroc Engineer
481,VARROC.NS,Varun Beverages
482,VBL.NS,Vedant Fashions
483,MANYAVAR.NS,Vedanta
484,VEDL.NS,Vijaya Diagnost
485,VIJAYA.NS,Vinati Organics
486,VINATIORGA.NS,VIP Industries
487,IDEA.NS,Vodafone Idea
488,VOLTAS.NS,Voltas
489,WELCORP.NS,Welspun Corp
490,WELSPUNIND.NS,Welspun India
491,WESTLIFE.NS,Westlife Food
492,WHIRLPOOL.NS,Whirlpool
493,WIPRO.NS,Wipro
494,YESBANK.NS,Wockhardt
495,ZFCVINDIA.NS,Yes Bank
496,ZEEL.NS,Zee Entertain
497,ZENSARTECH.NS,Zensar Tech
498,ZOMATO.NS,ZFCVINDIA
499,ZYDUSLIFE.NS,Zomato
500,ZYDUSWELL.NS,Zydus Life

