Symbol,Name,LastSale,NetChange,%Change,MarketCap,Country,IPOYear,Volume,Sector,Industry
CENTRALBK.NS,CESC,68.5,0.81,8245.01,India,1028915,Power-Generation&Distribution
CDSL.NS,CGPower,298.6,-1.73,9080.16,India,593807,ElectricEquipment
CENTURYPLY.NS,ChaletHotels,367.65,0.73,18590.31,India,100543,Hotels
CENTURYTEX.NS,ChambalFert,282.05,-0.56,45600.14,India,410556,Fertilisers
CERA.NS,CHEMPLASTSANMA,420.95,0.75,7537.74,India,303315,SpecialityChemicals
CHALET.NS,CholaFinHold,574.85,-0.25,11739.14,India,92682,Miscellaneous
CHAMBLFERT.NS,CholaInvest.,846.9,0.87,6655.62,India,1267087,Finance-NBFC
CHEMPLASTS.NS,Cipla,911.9,-1.34,10794.39,India,1538261,Pharmaceuticals
CHOLAHLDNG.NS,CityUnionBank,128.7,-0.96,69618.95,India,2634657,Banks-PrivateSector
CHOLAFIN.NS,CleanScience,1413.75,0.51,73604.06,India,39072,SpecialityChemicals
CIPLA.NS,CoalIndia,230.4,-0.78,9529.16,India,7424582,Mining&Minerals
CUB.NS,CochinShipyard,487.3,0.54,15019.33,India,280425,ShipBuilding
CLEAN.NS,COFORGELTD.,3901.95,-3.13,141989.26,India,381807,Computers-Software
COALINDIA.NS,Colgate,1528.95,-1.45,6409.96,India,253684,PersonalCare
COCHINSHIP.NS,CAMS,2114.1,-0.71,23839.18,India,28673,Finance-Investment
COFORGE.NS,ContainerCorp,599.4,-1.52,41585.24,India,566828,Transport&Logistics
COLPAL.NS,CoromandelInt,946.75,1.7,36521.1,India,785878,Fertilisers
CAMS.NS,CreditAccessGr,982.95,0.29,27835.75,India,47041,Finance-NBFC
CONCOR.NS,CRISIL,3354.95,-1.05,15619.71,India,60058,Miscellaneous
COROMANDEL.NS,CGConsumer,292.25,-0.9,24516.93,India,1689878,Electricals
CRAFTSMAN.NS,CSBBank,278.6,-3.6,4833.32,India,566405,Banks-PrivateSector
CREDITACC.NS,Cummins,1501.05,0.74,41609.11,India,510197,Engines
CROMPTON.NS,Cyient,1068.7,-3.6,11817.15,India,333167,Computers-Software
CUMMINSIND.NS,DaburIndia,520.05,-0.16,92140.56,India,1138035,PersonalCare
CYIENT.NS,DalmiaBharat,2052.5,0.86,38480.34,India,447343,Cement-Major
DCMSHRIRAM.NS,DCMShriram,827.1,-1.9,12897.99,India,45975,Diversified
DLF.NS,DeepakFert,616.7,0.97,7785.09,India,399886,Fertilisers
DABUR.NS,DeepakNitrite,1848.45,-1.09,25211.57,India,167719,Chemicals
DALBHARAT.NS,Delhivery,327.8,-0.71,23887.28,India,2188500,CourierServices
DATAPATTNS.NS,DeltaCorp,190.55,-1.42,5099.03,India,1316088,Construction&Contracting-RealEstate
DEEPAKFERT.NS,DevyaniInt,160.9,-0.09,19395.67,India,1853745,ConsumerFood
DEEPAKNTR.NS,DhaniServices,38.45,1.99,2353.71,India,2360827,Finance-Investments
DELHIVERY.NS,DilipBuildcon,178.9,-0.53,2615.79,India,288134,Construction&Contracting-Civil
DELTACORP.NS,DivisLabs,3342.6,2.2,88735.53,India,1736594,Pharmaceuticals
DEVYANI.NS,DixonTechnolog,3010.4,1.13,17929.99,India,686709,Electricals
DIVISLAB.NS,DLF,421.7,-0.51,104383.89,India,4044971,Construction&Contracting-RealEstate
